maintenance_id,aircraft_id,aircraft_model,base_location,maintenance_type,supplier_name,event_date,downtime_hours,supplier_delay_days,maintenance_status,maintenance_cost,readiness_score
1,AC-1409,F-16,Luke AFB,Avionics,Northrop,11/23/2024,21.0,4,Completed,32772.26,71
2,AC-4811,B-2,Eglin AFB,Engine Repair,L3Harris,2024-02-17,30.0,4,Delayed,22190.36,64
3,AC-3615,C-130,Hill AFB,Hydraulics,Northrop,03/21/2025,30.0,8,Awaiting Parts,19366.31,57
4,AC-1711,C-130,Eglin AFB,Engine Repair,GE Aerospace,2024-11-05,22.0,3,In Progress,19411.24,74
5,AC-4733,F-16,Fort Worth,Avionics,Raytheon,01/24/2024,19.0,0,Delayed,4300.99,86
6,AC-2169,B-2,Luke AFB,Landing Gear,Northrop,2024-05-16,13.0,0,Delayed,28770.97,92
7,AC-4752,F-35A,Hill AFB,Software Update,Boeing,2025-02-01,10.0,0,In Progress,42587.79,85
8,AC-8517,F-22,Hill AFB,Avionics,Northrop,03/28/2025,16.0,5,Awaiting Parts,7903.02,84
9,AC-9348,C-130,Fort Worth,Engine Repair,Raytheon,2024-04-22,13.0,5,Completed,11188.08,79
10,AC-5119,B-2,Fort Worth,Electrical,Raytheon,08/27/2024,21.0,2,In Progress,21499.68,80
11,AC-5315,B-2,Luke AFB,Landing Gear,Raytheon,08/20/2024,13.0,12,Delayed,24838.03,70
12,AC-1009,B-2,Hill AFB,Software Update,Raytheon,2024-10-03,9.0,8,In Progress,10349.88,86
13,AC-2403,C-130,Fort Worth,Landing Gear,Northrop,2024-10-17,19.0,0,In Progress,9061.77,77
14,AC-9835,F-22,Hill AFB,Software Update,Boeing ,05/08/2025,19.0,7,Delayed,27056.42,72
15,AC-4608,F-35A,Fort Worth,Electrical,Raytheon,10/10/2024,17.0,3,Completed,7257.74,78
16,AC-9834,F-22,Eglin AFB,Landing Gear,GE Aerospace,09/05/2024,12.0,3,Completed,37685.47,83
17,AC-8651,F-35A,Fort Worth,Engine Repair,GE Aerospace,08/04/2024,20.0,0,Delayed,28889.01,81
18,AC-5563,C-130,Luke AFB,Engine Repair,GE Aerospace,08/04/2024,14.0,2,Completed,32340.12,81
19,AC-3724,C-130,Nellis AFB,Software Update,Northrop,03/10/2025,26.0,8,Completed,14929.39,64
20,AC-5673,C-130,Eglin AFB,Electrical,GE Aerospace,2025-02-05,15.0,6,Completed,36706.54,81
21,AC-9238,B-2,Luke AFB,Engine Repair,L3Harris,2024-10-26,14.0,4,Delayed,11723.98,84
22,AC-1651,B-2,Fort Worth,Software Update,L3Harris,10/18/2024,8.0,8,In Progress,41274.88,82
23,AC-5915,C-130,Hill AFB,Engine Repair,Raytheon,12/09/2024,17.0,9,Completed,29339.63,79
24,AC-2127,F-22,Hill AFB,Hydraulics,Northrop,03/08/2024,12.0,6,Completed,43456.44,82
25,AC-2697,F-22,Hill AFB,Engine Repair,Raytheon,04/22/2025,17.0,11,Delayed,6436.94,77
26,AC-9280,C-130,Hill AFB,Engine Repair,Raytheon,11/20/2024,24.0,N/A,In Progress,21411.91,70
27,AC-8239,B-2,Nellis AFB,Landing Gear,Raytheon,2024-05-14,18.0,0,Delayed,22363.94,79
28,AC-3426,C-130,Luke AFB,Engine Repair,Boeing,10/25/2024,20.0,10,Completed,18780.76,73
29,AC-2684,F-16,Eglin AFB,Software Update,L3Harris,05/07/2024,11.0,2,Delayed,35984.83,92
30,AC-1406,F-22,Hill AFB,Software Update,Northrop,03/27/2025,20.0,2,Completed,31159.21,79
31,AC-6728,F-16,Luke AFB,Avionics,Raytheon,02/22/2025,18.0,8,Completed,16575.36,76
32,AC-7548,B-2,Hill AFB,Engine Repair,Raytheon,11/24/2024,15.0,3,In Progress,7437.82,85
33,AC-8149,B-2,Eglin AFB,engine repair,GE Aerospace,06/25/2024,20.0,N/A,Awaiting Parts,25061.36,74
34,AC-4228,F-16,Nellis AFB,Engine Repair,Boeing,10/02/2024,16.0,0,In Progress,19952.26,89
35,AC-5844,B-2,Luke AFB,Avionics,GE Aerospace,06/16/2024,15.0,1,Delayed,23064.57,85
36,AC-5978,F-16,Luke AFB,Software Update,L3Harris,10/07/2024,21.0,12,Delayed,27094.93,62
37,AC-2389,F-16,Eglin AFB,Electrical,L3Harris,05/06/2025,20.0,4,In Progress,1974.75,73
38,AC-5011,C-130,Eglin AFB,Engine Repair,GE Aerospace,01/13/2024,17.0,5,Awaiting Parts,54558.91,73
39,AC-2746,C-130,Luke AFB,Avionics,L3Harris,12/01/2024,16.0,6,Completed,24583.46,73
40,AC-6198,C-130,Eglin AFB,Electrical,L3Harris,12/07/2024,8.0,9,Delayed,34023.2,86
41,AC-5543,B-2,Nellis AFB,Electrical,Northrop,05/12/2024,24.0,1,In Progress,41833.53,73
42,AC-3471,F-22,Nellis AFB,Electrical,Northrop,02/11/2024,6.0,7,Awaiting Parts,51285.47,84
43,AC-1320,B-2,Nellis AFB,Software Update,Raytheon,08/03/2024,10.0,2,Awaiting Parts,26195.82,89
44,AC-4613,C-130,Luke AFB,Hydraulics,GE Aerospace,02/13/2025,13.0,0,Awaiting Parts,25822.76,91
45,AC-9751,F-35A,Nellis AFB,Landing Gear,L3Harris,04/15/2025,9.0,6,Awaiting Parts,13966.91,82
46,AC-8449,F-16,Hill AFB,Software Update,Boeing,06/16/2024,30.0,1,Completed,21135.26,67
47,AC-4673,F-35A,Fort Worth,Engine Repair,Northrop,2024-01-27,,0,Delayed,27729.52,76
48,AC-8619,F-16,Hill AFB,Avionics,L3Harris,04/30/2025,28.0,0,Delayed,27215.61,70
49,AC-7149,C-130,Luke AFB,Engine Repair,L3Harris,01/14/2024,20.0,8,In Progress,10156.59,71
50,AC-1672,F-16,Eglin AFB,Software Update,Boeing,2024-03-02,7.0,N/A,Awaiting Parts,28563.82,90
51,AC-8532,F-22,Nellis AFB,Avionics,L3Harris,05/06/2025,20.0,6,Awaiting Parts,16839.7,74
52,AC-6280,F-22,Fort Worth,Hydraulics,GE Aerospace,10/30/2024,19.0,6,Awaiting Parts,16427.78,74
53,AC-8988,F-22,Hill AFB,Hydraulics,Boeing,06/15/2024,32.0,6,Completed,10704.36,59
54,AC-9004,B-2,Luke AFB,Electrical,GE Aerospace,05/03/2024,23.0,1,Completed,34445.02,77
